n,x,y
0,0.00000000,0.00000000
1,0.10833078,1.03263704
2,0.21666156,1.21956369
3,0.32499234,1.19760481
4,0.43332312,1.34233821
5,0.54165391,1.46035784
6,0.64998469,1.56586045
7,0.75831547,1.66390312
8,0.86664625,1.75640548
9,0.97497703,1.92327468
10,1.08330781,1.98310242
11,1.19163859,2.04517841
12,1.29996937,2.10889436
13,1.40830016,2.17356622
14,1.51663094,2.46134208
15,1.62496172,2.48188804
16,1.73329250,2.50855518
17,1.84162328,2.54053698
18,1.94995406,2.57711165
19,2.05828484,2.61763977
20,2.16661562,2.66155666
21,2.27494640,2.70836306
22,2.38327719,2.75761554
23,2.49160797,2.80891758
24,2.59993875,2.86191139
25,2.70826953,2.91627067
26,2.81660031,2.97169409
27,2.92493109,3.02789952
28,3.03326187,3.08461875
29,3.14159265,3.14159265
